name,RectCoverage,AvgRectArea,RectStDev,AspectRatio,AvgLineBends,AvgLineLength,LongestLine,ShortestLine,LineLengthStDev,AvgLineAngle,OrthLinesRatio,LineCrossings,AvgCrossingAngle,AvgShortestDistance,RectDistribution,RectOrth,RectOrth2,rectangles,lines,Quality
AddressBookUML 2.jpg,0.588609,35509.6875,0.723755,1.311189,0.333333,288.193085,464,159.033325,0.281562,5.56937,0.75,0.022059,70.414215,184.124695,0.323431,0.000025,0.0625,16,12,2.5
andengine_classdiagram.png,0.236967,6056.4375,0.257714,0.904311,0.903226,244.743561,818.250916,31,0.882926,10.187655,0.423729,0.014689,41.22649,82.908066,0.440845,0.000052,1.375,32,31,3.5
Class_Diagram__Component_View__scs.georesults.om__verseny__verseny.png,0.550997,49011.19922,0.551558,1.264755,2,943.000549,1110.000854,612,0.248203,0.021203,1,0.111111,89.942734,255.250641,0.266604,0.000024,0.4,5,3,3.5
AddressBookUML.jpg,0.464038,44715.71484,0.880319,1.006045,1.857143,620.428101,1643.174194,73,0.740247,12.319095,0.4125,0.028704,62.122978,250.194214,0.184616,0.000015,0.285714,14,28,1
Class Diagram 2.jpg,0.165999,4485.5,0.550322,2.355795,1.333333,291.01001,591.294006,123.369362,0.614788,7.233784,0.52381,0.021645,45.909721,96.337021,0.333333,0.000063,0.333333,12,9,2
AndroidPanelsServiceDiagram.jpg,0.168852,10352,0.188966,1.119658,2.5,416.438202,664.76416,32.015621,0.522678,26.667747,0,0.05665,60.337597,104.015388,0.807153,0.000043,0.222222,9,8,2
AndroidLocationServiceDiagram.jpg,0.074874,12025.16699,0.119588,0.608903,4.4,768.012817,1090.498657,491.70517,0.222402,12.079509,0.407407,0.098316,52.095108,139.689835,1.002476,0.000039,0,6,10,2.5
AndroidApplicationFlowDiagram.jpg,0.173069,11262.2666,0.113355,1.01222,3.066667,652.736389,1716.878174,48.093658,0.603835,13.086522,0.47541,0.030521,61.376392,142.272644,0.228979,0.000023,0.466667,15,30,1
class diagram_6..png,0.18492,64874.17578,0.797661,1.509054,4,1245.520752,1261.655884,1229.38562,0.012955,9.70272,0.4,0.018182,89.345222,389.10434,0.348005,0.000004,0.176471,17,2,1.5
class_diagram_21..png,0.241826,22482.16602,0.580507,1.523967,0.4,221.020782,541.10553,115.134705,0.733449,14.652515,0.285714,0,90,266.701111,0.37419,0.000019,0,59,36,4.5
